京本作 川本 辛本 城营 军营 京本 辛本作 忽然 太阳 兵行次 京本注 将军 移寨 必有 不然 发日 其中 安宁 大胜 移营
万里 今日 千里 不见 惆怅 秋风 故人 不可 不得 无人 相思 人间 长安 悠悠 相逢 如何 少年 白日 平生 黄金
一作 项校 异文 改作 注一 书卷 见同 男女 不能 作者 思量 此首 二句 父母 法苑珠 烦恼 以上 英华 道人 出家
灯会 灯录 景德传 祖堂 卷十 无心 十七 天圣 广灯录 卷八 十五 二九 不是 禅师 事苑 虚空 十一 十三 宗镜录 本来
何处 春深 深春好 春生 生春早 天涯 谁家 惆怅 相逢 桃花 孤舟 苍苍 芳草 水流 悠悠 相见 此时 夕阳 鹧鸪 斑竹
春风 杨柳 落花 桃李 桃花 君王 一枝 可怜 鸳鸯 无人 无限 梨花 花落 寒食 美人 日暮 芳菲 柳色 杏花 肠断
不知 何人 何事 人间 桃花 至今 世人 一夜 风雨 多少 夜来 老人 世间 山中 谁家 疑是 今朝 千条 鹧鸪 不见
全唐诗 诗话 杂录 吟窗 二句 古今 重录 英华 以上 总龟 文苑 十四 地纪胜 纪事 唐诗 四句 卷八 先生 诗中 三七
白云 青山 明月 流水 芳草 山中 日暮 洞庭 回首 翠微 沧海 深处 清风 纷纷 千峰 黄叶 何年 空山 孤舟 寂寂
辛本 川本作 川本 我军 首本作 营寨 大战 占贼 固守 雷鸣 定主 奇门 子孙 或是 辛本作 京本 此理 三奇 胜负 必有
