万里 千里 不可 今日 归来 故人 不见 秋风 风雨 江湖 相逢 人生 先生 十年 风流 百年 西风 当年 天地 回首
春风 桃李 桃花 杨柳 芳草 二月 夜雨 春色 海棠 东风 落花 一枝 燕子 寒食 百花 三月 日日 杏花 处处 杜鹃
不知 多少 但觉 山中 分明 如何 门外 何年 春色 何似 何人 不会 虚空 身在 何事 桃花 天下 身是 终日 是非
首句 诗题 九日 次韵 二首 三首 同孝叔游 绝句 黄花 重阳 其一 不见 无题 书事 登高 舍人 火星 全诗 玉泉 其二
尧夫 吟诗 诗是 春来 无事客 天下 言语 老时 太平 然后 可叹 田园 赞易时 仲尼 人情 得意 小车 有时 无人 园林
梅花 东风 西湖 一枝 江南 孤山 黄昏 一夜 诗人 清香 处士 春色 暗香 横斜 桃李 今年 十分 只有 春寒 一年
人间 天上 万事 神仙 第一 天下 日月 富贵 分明 蓬莱 处处 一点 无处 山中 从来 便是 当年 桃花 春色 海上
平生 功名 文章 老去 胸中 岁晚 江湖 向来 今日 晚岁 先生 富贵 四海 事业 丘壑 诗书 万事 忧患 归来 湖海
白云 青山 无人 不是 明月 流水 深处 山中 无心 夕阳 分明 一片 红尘 落花 一声 清风 芳草 桃花 归去 行人
何处 西风 一声 夕阳 谁家 回首 桃花 此时 更于 人家 借问 不堪 数声 芳草 桃源 黄花 飞来 行人 扁舟 难忘
