君子 我心 忧心 万年 未见 至止 昊天 心之忧 如何 福禄 见止 交交 维其 瞻彼洛 维水 泱泱 薄言 采薇 尔肴 不知
文王 四方 于乎 之命 上帝 殷商 之典 不显 维天 小子 夙夜 孙子 昊天 武王 维周 咨女 不已 成王 迄用 不易
之子 彼其 怀哉 江有 清人 羔裘 可以 振振 殊异 彼汾 以为 维鹊 嗟麟 其仪 百两 心之忧 淑人君子 其子 肃肃宵征 实命
兄弟 他人 不如 一日不见 终远 维子 绵绵 载驰载驱 胡不比 嗟行 父母 羔裘 女子 不能 周爰 悠悠 扬之水 彼采 人母 有行
不可 中冓之言 泛彼柏舟 矢靡 之死 不谅 江之永矣 方思 汉之广 泳思 静言思 实维 茁者 一发 嗟乎 黄鸟 可以 翘翘 有匪 遵彼汝坟
我乎 叔兮伯兮 充耳以 我谓 尚之以 之上 每食 之思 桑中 上宫 宛丘 子惠思 驾予 狂童 悔予 衣锦褧衣 子之昌 我思 权舆 不承
既见 君子 东门 中心 鸡鸣 嘉宾 桑有 一朝 菁菁 萧斯 零露 其叶 钟鼓 既设 人之为 湛湛露斯 其室 彼中 既集 风雨凄凄
乐只 君子 有酒 我马 北山 嘉宾 王在 天子 姑酌 南山 维以 来朝 嘉鱼 饮酒 王事靡 周行 南有 邦家 不盈顷 玄黄
岂弟君子 曾孙 以享 既备 以介景福 以祀 神罔时 百谷 俾尔弥尔性 挹彼注兹 济济 农夫 降福 播厥 百礼 可以 介福 报以 黍稷 先祖
齐子 有荡 鲁道 如之何 劳心 归止 美且 其人 其鱼 取妻 无田甫 庸止 无思远 婉兮 射则 美目 汶水 行人 不克 匪媒
